m1a2;t2
210;862
1832;2467
3437;4076
5015;5689
6582;7264
8172;8849
9814;10509
11538;12216
13321;14025
15091;15771
16835;17505
18471;19148
20072;20726
21606;22280
23117;23784
24697;25399
26373;27072
28078;28811
29788;30488
31491;32198
33168;33843
34785;35462
36324;36991
37808;38480
39284;39992
40799;41461
42448;43100
44170;44847
45888;46552
47601;48294
49296;49991
50915;51582
52471;53135
54006;54697
55536;56214
57099;57772
58731;59438
60417;61126
62074;62768
63744;64463
65367;66038
66943;67639
68473;69181
69941;70611
71405;72061
72921;73626
74546;75246
76248;76951
77983;78688
79706;80356
81429;82085
83104;83791
84684;85337
86217;86924
87761;88431
89372;90054
91055;91740
92799;93506
94547;95207
96299;96979
98012;98688
99683;1.0036e+05
1.0126e+05;1.0192e+05
1.0284e+05;1.0351e+05
