m1a1;t1
677;1312
2742;3394
4659;5298
6563;7191
8562;9195
10569;11204
12548;13188
14337;14975
15965;16598
17558;18187
19177;19799
20889;21520
22773;23400
24838;25472
26957;27598
28978;29611
31014;31657
32905;33543
34620;35250
36310;36940
37983;38621
39655;40291
41346;41968
43099;43731
44900;45525
46735;47355
48627;49254
50444;51079
52077;52702
53697;54325
55315;55940
57018;57641
58851;59479
60832;61466
62781;63411
64689;65319
66657;67293
68568;69203
70453;71088
72137;72765
73795;74425
75458;76086
77188;77813
79113;79747
81156;81783
83104;83729
84838;85475
86455;87078
88050;88670
89665;90277
91350;91969
93182;93817
95083;95713
97006;97633
99011;99638
1.0094e+05;1.0156e+05
1.0284e+05;1.0349e+05
1.0471e+05;1.0533e+05
1.0641e+05;1.0704e+05
